11;['[0.0, 0.13333333333333333)', '[0.0, infinity)'];['[0.4, 0.7333333333333333)'];['[0.8, 0.8666666666666667)', '[0.8, 0.9333333333333333)'];2;1;2
12;['[0.0, 0.06666666666666667)', '[0.0, 0.06666666666666667)', '[0.0, 0.13333333333333333)', '[0.0, 0.4)', '[0.0, infinity)'];['[0.26666666666666666, 0.6)', '[0.13333333333333333, 0.6)', '[0.26666666666666666, 0.6666666666666666)'];['[0.6666666666666666, 0.7333333333333333)', '[0.6666666666666666, 0.7333333333333333)', '[0.7333333333333333, 0.8)', '[0.6666666666666666, 0.8)'];5;3;4
13;['[0.0, 0.06666666666666667)', '[0.0, 0.13333333333333333)', '[0.0, 0.13333333333333333)', '[0.0, 0.4)', '[0.0, infinity)'];['[0.4666666666666667, 0.6)', '[0.4, 0.6)', '[0.0, 0.6)', '[0.13333333333333333, 0.6)'];['[0.6666666666666666, 0.7333333333333333)', '[0.6666666666666666, 0.7333333333333333)', '[0.6666666666666666, 0.7333333333333333)', '[0.6666666666666666, 0.8)'];5;4;4
14;['[0.0, 0.06666666666666667)', '[0.0, 0.13333333333333333)', '[0.0, infinity)'];['[0.3333333333333333, 0.6666666666666666)', '[0.4, 0.6666666666666666)'];['[0.6666666666666666, 0.7333333333333333)', '[0.7333333333333333, 0.8)'];3;2;2
16;['[0.0, 0.06666666666666667)', '[0.0, 0.13333333333333333)', '[0.0, 0.13333333333333333)', '[0.0, 0.26666666666666666)', '[0.0, 0.7333333333333333)', '[0.0, infinity)'];['[0.3333333333333333, 0.6666666666666666)', '[0.3333333333333333, 0.7333333333333333)'];['[0.7333333333333333, 0.8)', '[0.7333333333333333, 0.8)'];6;2;2
17;['[0.0, 0.06666666666666667)', '[0.0, 0.06666666666666667)', '[0.0, 0.06666666666666667)', '[0.0, 0.13333333333333333)', '[0.0, 0.2)', '[0.0, 0.2)', '[0.0, 0.2)', '[0.0, 0.26666666666666666)', '[0.0, 0.26666666666666666)', '[0.0, infinity)'];['[0.4, 0.7333333333333333)', '[0.3333333333333333, 0.7333333333333333)', '[0.4, 0.8)'];['[0.7333333333333333, 0.8)', '[0.8, 0.8666666666666667)'];10;3;2
18;['[0.0, 0.06666666666666667)', '[0.0, 0.13333333333333333)', '[0.0, 0.2)', '[0.0, 0.26666666666666666)', '[0.0, infinity)'];['[0.26666666666666666, 0.6)', '[0.5333333333333333, 0.6666666666666666)', '[0.26666666666666666, 0.6666666666666666)'];['[0.6666666666666666, 0.8)', '[0.7333333333333333, 0.8)', '[0.6666666666666666, 0.8)', '[0.8, 0.8666666666666667)', '[0.8, 0.8666666666666667)'];5;3;5
19;['[0.0, 0.06666666666666667)', '[0.0, 0.06666666666666667)', '[0.0, 0.13333333333333333)', '[0.0, 0.13333333333333333)', '[0.0, 0.13333333333333333)', '[0.0, 0.3333333333333333)', '[0.0, 0.6)', '[0.0, infinity)'];['[0.6, 0.6666666666666666)', '[0.2, 0.7333333333333333)', '[0.6666666666666666, 0.7333333333333333)'];['[0.7333333333333333, 0.8)', '[0.6666666666666666, 0.8)', '[0.8, 0.8666666666666667)', '[0.8, 0.8666666666666667)', '[0.8, 0.8666666666666667)', '[0.8666666666666667, 0.9333333333333333)'];8;3;6
20;['[0.0, 0.2)', '[0.0, infinity)'];['[0.0, 0.6)', '[0.0, 0.6666666666666666)'];['[0.6, 0.6666666666666666)', '[0.6666666666666666, 0.7333333333333333)', '[0.6666666666666666, 0.7333333333333333)'];2;2;3
21;['[0.0, 0.06666666666666667)', '[0.0, 0.2)', '[0.0, 0.26666666666666666)', '[0.0, 0.26666666666666666)', '[0.0, infinity)'];['[0.4666666666666667, 0.7333333333333333)'];['[0.8, 0.8666666666666667)', '[0.8, 0.8666666666666667)'];5;1;2
