001+039;['[0.0, 0.06666666666666667)', '[0.0, 0.13333333333333333)', '[0.0, 0.2)', '[0.0, 0.2)', '[0.0, 0.26666666666666666)', '[0.0, infinity)'];['[0.0, 0.06666666666666667)', '[0.4, 0.6666666666666666)', '[0.3333333333333333, 0.7333333333333333)'];['[0.7333333333333333, 0.8)', '[0.6666666666666666, 0.8)']
001+039;['[0.0, 0.06666666666666667)', '[0.0, 0.13333333333333333)', '[0.0, 0.13333333333333333)', '[0.0, 0.13333333333333333)', '[0.0, 0.13333333333333333)', '[0.0, infinity)'];['[0.4, 0.6)', '[0.4, 0.6666666666666666)', '[0.6666666666666666, 0.7333333333333333)'];['[0.6666666666666666, 0.7333333333333333)']
001+039;['[0.0, 0.06666666666666667)', '[0.0, 0.06666666666666667)', '[0.0, 0.06666666666666667)', '[0.0, 0.06666666666666667)', '[0.0, 0.2)', '[0.0, 0.26666666666666666)', '[0.0, 0.26666666666666666)', '[0.0, infinity)'];['[0.4, 0.6)', '[0.4, 0.7333333333333333)'];['[0.7333333333333333, 0.8)', '[0.6, 0.8)', '[0.8, 0.8666666666666667)']
001+081;['[0.0, 0.06666666666666667)', '[0.0, 0.2)', '[0.0, 0.3333333333333333)', '[0.0, 0.7333333333333333)', '[0.0, infinity)'];['[0.13333333333333333, 0.6666666666666666)', '[0.13333333333333333, 0.6666666666666666)'];['[0.7333333333333333, 0.8)', '[0.7333333333333333, 0.8)', '[0.8, 0.8666666666666667)', '[0.7333333333333333, 0.8666666666666667)']
001+081;['[0.0, 0.13333333333333333)', '[0.0, 0.2)', '[0.0, 0.2)', '[0.0, 0.7333333333333333)', '[0.0, infinity)'];['[0.2, 0.6)', '[0.2, 0.6666666666666666)'];['[0.6666666666666666, 0.7333333333333333)', '[0.7333333333333333, 0.8)', '[0.7333333333333333, 0.8)', '[0.8, 0.8666666666666667)']
001+081;['[0.0, 0.06666666666666667)', '[0.0, 0.06666666666666667)', '[0.0, 0.13333333333333333)', '[0.0, 0.13333333333333333)', '[0.0, 0.4)', '[0.0, infinity)'];['[0.4, 0.4666666666666667)', '[0.3333333333333333, 0.5333333333333333)', '[0.13333333333333333, 0.6)'];[]
001+083;['[0.0, 0.06666666666666667)', '[0.0, 0.06666666666666667)', '[0.0, 0.2)', '[0.0, infinity)'];['[0.06666666666666667, 0.6)', '[0.13333333333333333, 0.6666666666666666)'];['[0.6666666666666666, 0.7333333333333333)', '[0.6666666666666666, 0.8)', '[0.7333333333333333, 0.8)', '[0.7333333333333333, 0.8)', '[0.8, 0.8666666666666667)']
001+083;['[0.0, 0.06666666666666667)', '[0.0, 0.06666666666666667)', '[0.0, 0.13333333333333333)', '[0.0, 0.2)', '[0.0, infinity)'];['[0.06666666666666667, 0.6)', '[0.06666666666666667, 0.6666666666666666)'];['[0.6666666666666666, 0.7333333333333333)', '[0.7333333333333333, 0.8)', '[0.7333333333333333, 0.8)', '[0.7333333333333333, 0.8)', '[0.7333333333333333, 0.8)']
001+083;['[0.0, 0.06666666666666667)', '[0.0, 0.06666666666666667)', '[0.0, 0.13333333333333333)', '[0.0, infinity)'];['[0.06666666666666667, 0.6)', '[0.13333333333333333, 0.6)'];['[0.7333333333333333, 0.8)', '[0.7333333333333333, 0.8)', '[0.7333333333333333, 0.8)', '[0.7333333333333333, 0.8)']
001+086;['[0.0, 0.06666666666666667)', '[0.0, infinity)'];['[0.4, 0.5333333333333333)', '[0.0, 0.6)', '[0.26666666666666666, 0.6666666666666666)'];['[0.6666666666666666, 0.7333333333333333)', '[0.6666666666666666, 0.7333333333333333)', '[0.6666666666666666, 0.7333333333333333)']
001+086;['[0.0, 0.06666666666666667)', '[0.0, 0.13333333333333333)', '[0.0, infinity)'];['[0.0, 0.06666666666666667)', '[0.26666666666666666, 0.5333333333333333)', '[0.0, 0.6666666666666666)'];['[0.6666666666666666, 0.7333333333333333)']
001+086;['[0.0, infinity)'];['[0.26666666666666666, 0.6666666666666666)', '[0.0, 0.6666666666666666)'];['[0.6666666666666666, 0.7333333333333333)', '[0.7333333333333333, 0.8)', '[0.7333333333333333, 0.8)', '[0.7333333333333333, 0.8)']
001+090;['[0.0, 0.06666666666666667)', '[0.0, 0.06666666666666667)', '[0.0, 0.06666666666666667)', '[0.0, 0.2)', '[0.0, infinity)'];['[0.5333333333333333, 0.6)', '[0.0, 0.6)', '[0.2, 0.6666666666666666)', '[0.6, 0.6666666666666666)'];['[0.6666666666666666, 0.7333333333333333)', '[0.6666666666666666, 0.7333333333333333)', '[0.6, 0.7333333333333333)', '[0.6666666666666666, 0.8)', '[0.6666666666666666, 0.8)', '[0.6666666666666666, 0.8)']
001+090;['[0.0, 0.06666666666666667)', '[0.0, 0.06666666666666667)', '[0.0, 0.13333333333333333)', '[0.0, 0.26666666666666666)', '[0.0, infinity)'];['[0.26666666666666666, 0.5333333333333333)', '[0.5333333333333333, 0.6)', '[0.13333333333333333, 0.6666666666666666)', '[0.3333333333333333, 0.6666666666666666)'];['[0.6666666666666666, 0.7333333333333333)', '[0.6666666666666666, 0.7333333333333333)', '[0.6666666666666666, 0.7333333333333333)', '[0.7333333333333333, 0.8)', '[0.7333333333333333, 0.8)']
